lakeid,year4,gearid,spname,effort,total_caught
BM,1986,FYKNET,YELLOWBULLHEAD,6,3
BM,1986,FYKNET,YELLOWPERCH,6,17
BM,1986,TRAMML,BLUEGILL,2,13
BM,1986,TRAMML,PUMPKINSEED,2,20
BM,1986,TRAMML,ROCKBASS,2,16
BM,1986,TRAMML,SMALLMOUTHBASS,2,1
BM,1986,TRAMML,WALLEYE,2,3
BM,1986,TRAMML,WHITESUCKER,2,5
BM,1986,TRAMML,YELLOWBULLHEAD,2,5
BM,1986,VGN051,CISCO,2,2
BM,1987,BSEINE,BLUEGILL,18,3
BM,1987,BSEINE,BLUNTNOSEMINNOW,18,6
BM,1987,BSEINE,BURBOT,18,3
BM,1987,BSEINE,IOWADARTER,18,1
BM,1987,BSEINE,JOHNNYDARTER,18,5
BM,1987,BSEINE,LOGPERCH,18,1
BM,1987,BSEINE,MIMICSHINER,18,23
BM,1987,BSEINE,MOTTLEDSCULPIN,18,3
BM,1987,BSEINE,PUMPKINSEED,18,2
BM,1987,BSEINE,ROCKBASS,18,30
BM,1987,BSEINE,SMALLMOUTHBASS,18,3
BM,1987,BSEINE,UNIDSUNFISH,18,1
BM,1987,BSEINE,WALLEYE,18,12
BM,1987,BSEINE,WHITESUCKER,18,2
BM,1987,BSEINE,YELLOWPERCH,18,5
BM,1987,CRAYTR,ROCKBASS,30,3
BM,1987,ELFISH,BLUEGILL,4,6
BM,1987,ELFISH,PUMPKINSEED,4,2
BM,1987,ELFISH,ROCKBASS,4,3
BM,1987,ELFISH,SMALLMOUTHBASS,4,1
BM,1987,ELFISH,WALLEYE,4,40
BM,1987,ELFISH,WHITESUCKER,4,8
BM,1987,FYKNET,BLUEGILL,6,20
BM,1987,FYKNET,BLUNTNOSEMINNOW,6,5
BM,1987,FYKNET,BURBOT,6,1
BM,1987,FYKNET,LARGEMOUTHBASS,6,2
BM,1987,FYKNET,PUMPKINSEED,6,23
BM,1987,FYKNET,ROCKBASS,6,58
BM,1987,FYKNET,SMALLMOUTHBASS,6,4
BM,1987,FYKNET,WALLEYE,6,10
BM,1987,FYKNET,WHITESUCKER,6,1
BM,1987,FYKNET,YELLOWPERCH,6,8
BM,1987,TRAMML,BLUEGILL,2,3
BM,1987,TRAMML,PUMPKINSEED,2,12
BM,1987,TRAMML,ROCKBASS,2,13
BM,1987,TRAMML,SMALLMOUTHBASS,2,1
BM,1987,TRAMML,WHITESUCKER,2,3
BM,1987,TRAMML,YELLOWBULLHEAD,2,7
BM,1987,VGN032,CISCO,2,1
BM,1987,VGN032,YELLOWPERCH,2,1
BM,1987,VGN051,CISCO,2,1
BM,1987,VGN064,CISCO,2,1
BM,1988,BSEINE,BLACKNOSESHINER,18,25
BM,1988,BSEINE,BLUEGILL,18,9
BM,1988,BSEINE,COMMONSHINER,18,1
BM,1988,BSEINE,JOHNNYDARTER,18,20
BM,1988,BSEINE,LARGEMOUTHBASS,18,1
BM,1988,BSEINE,LOGPERCH,18,1
BM,1988,BSEINE,MIMICSHINER,18,21
BM,1988,BSEINE,MOTTLEDSCULPIN,18,1
BM,1988,BSEINE,PUMPKINSEED,18,1
BM,1988,BSEINE,ROCKBASS,18,51
BM,1988,BSEINE,WALLEYE,18,6
BM,1988,BSEINE,YELLOWBULLHEAD,18,2
BM,1988,BSEINE,YELLOWPERCH,18,1
BM,1988,CRAYTR,BLUEGILL,28,1
BM,1988,CRAYTR,ROCKBASS,28,4
BM,1988,FYKNET,BLUEGILL,6,11
BM,1988,FYKNET,BLUNTNOSEMINNOW,6,1
BM,1988,FYKNET,IOWADARTER,6,1
BM,1988,FYKNET,PUMPKINSEED,6,2
BM,1988,FYKNET,ROCKBASS,6,22
BM,1988,FYKNET,SMALLMOUTHBASS,6,8
BM,1988,FYKNET,WALLEYE,6,1
BM,1988,FYKNET,YELLOWBULLHEAD,6,1
BM,1988,FYKNET,YELLOWPERCH,6,33
BM,1988,TRAMML,NORTHERNPIKE,2,4
BM,1988,TRAMML,PUMPKINSEED,2,17
BM,1988,TRAMML,ROCKBASS,2,13
BM,1988,TRAMML,SMALLMOUTHBASS,2,1
BM,1988,TRAMML,WALLEYE,2,2
BM,1988,TRAMML,WHITESUCKER,2,2
BM,1988,TRAMML,YELLOWBULLHEAD,2,8
BM,1988,TRAMML,YELLOWPERCH,2,3
BM,1988,VGN019,CISCO,2,1
BM,1988,VGN025,CISCO,2,1
BM,1988,VGN051,CISCO,2,3
BM,1988,VGN064,CISCO,2,3
BM,1988,VGN089,WALLEYE,2,1
BM,1989,BSEINE,BLUEGILL,18,4
BM,1989,BSEINE,BLUNTNOSEMINNOW,18,68
BM,1989,BSEINE,BURBOT,18,4
BM,1989,BSEINE,IOWADARTER,18,32
BM,1989,BSEINE,JOHNNYDARTER,18,25
BM,1989,BSEINE,LARGEMOUTHBASS,18,1
BM,1989,BSEINE,MIMICSHINER,18,202
BM,1989,BSEINE,MOTTLEDSCULPIN,18,6
BM,1989,BSEINE,PUMPKINSEED,18,6
BM,1989,BSEINE,ROCKBASS,18,32
BM,1989,BSEINE,SMALLMOUTHBASS,18,110
BM,1989,BSEINE,WALLEYE,18,12
BM,1989,BSEINE,WHITESUCKER,18,7
BM,1989,BSEINE,YELLOWBULLHEAD,18,6
BM,1989,BSEINE,YELLOWPERCH,18,344
BM,1989,CRAYTR,BLUNTNOSEMINNOW,30,3
BM,1989,CRAYTR,MIMICSHINER,30,1
BM,1989,CRAYTR,ROCKBASS,30,14
BM,1989,CRAYTR,WHITESUCKER,30,2
BM,1989,CRAYTR,YELLOWPERCH,30,8
BM,1989,ELFISH,BLUEGILL,4,3
BM,1989,ELFISH,LOGPERCH,4,2
BM,1989,ELFISH,MUSKELLUNGE,4,1
BM,1989,ELFISH,PUMPKINSEED,4,10
BM,1989,ELFISH,ROCKBASS,4,15
BM,1989,ELFISH,SMALLMOUTHBASS,4,4
BM,1989,ELFISH,WALLEYE,4,53
BM,1989,ELFISH,WHITESUCKER,4,4
BM,1989,ELFISH,YELLOWPERCH,4,2
BM,1989,FYKNET,BLUEGILL,6,6
BM,1989,FYKNET,BLUNTNOSEMINNOW,6,55
BM,1989,FYKNET,LARGEMOUTHBASS,6,8
BM,1989,FYKNET,MIMICSHINER,6,866
BM,1989,FYKNET,PUMPKINSEED,6,5
BM,1989,FYKNET,ROCKBASS,6,36
BM,1989,FYKNET,SMALLMOUTHBASS,6,7
BM,1989,FYKNET,WALLEYE,6,3
BM,1989,FYKNET,WHITESUCKER,6,7
BM,1989,FYKNET,YELLOWPERCH,6,406
BM,1989,TRAMML,NORTHERNPIKE,2,5
BM,1989,TRAMML,PUMPKINSEED,2,8
BM,1989,TRAMML,ROCKBASS,2,7
BM,1989,TRAMML,WALLEYE,2,5
BM,1989,TRAMML,WHITESUCKER,2,5
BM,1989,TRAMML,YELLOWBULLHEAD,2,6
BM,1989,TRAMML,YELLOWPERCH,2,3
BM,1989,VGN025,CISCO,2,3
BM,1989,VGN025,WALLEYE,2,1
BM,1989,VGN032,WALLEYE,2,1
BM,1989,VGN051,CISCO,2,1
BM,1989,VGN051,WALLEYE,2,1
BM,1989,VGN064,CISCO,2,2
BM,1989,VGN089,CISCO,2,1
BM,1990,BSEINE,BLUEGILL,18,4
BM,1990,BSEINE,BLUNTNOSEMINNOW,18,71
BM,1990,BSEINE,JOHNNYDARTER,18,24
BM,1990,BSEINE,LARGEMOUTHBASS,18,25
BM,1990,BSEINE,MIMICSHINER,18,50
BM,1990,BSEINE,MOTTLEDSCULPIN,18,1
BM,1990,BSEINE,PUMPKINSEED,18,12
BM,1990,BSEINE,ROCKBASS,18,28
BM,1990,BSEINE,SMALLMOUTHBASS,18,16
BM,1990,BSEINE,WALLEYE,18,6
BM,1990,BSEINE,WHITESUCKER,18,16
BM,1990,BSEINE,YELLOWBULLHEAD,18,14
BM,1990,BSEINE,YELLOWPERCH,18,883
BM,1990,CRAYTR,ROCKBASS,30,1
BM,1990,ELFISH,BLUEGILL,4,7
BM,1990,ELFISH,MIMICSHINER,4,2
BM,1990,ELFISH,PUMPKINSEED,4,1
BM,1990,ELFISH,ROCKBASS,4,3
BM,1990,ELFISH,SMALLMOUTHBASS,4,1
BM,1990,ELFISH,WALLEYE,4,37
BM,1990,ELFISH,WHITESUCKER,4,5
BM,1990,ELFISH,YELLOWBULLHEAD,4,1
BM,1990,ELFISH,YELLOWPERCH,4,6
BM,1990,FYKNET,BLUEGILL,6,5
BM,1990,FYKNET,BLUNTNOSEMINNOW,6,31
BM,1990,FYKNET,LARGEMOUTHBASS,6,9
BM,1990,FYKNET,PUMPKINSEED,6,9
BM,1990,FYKNET,ROCKBASS,6,59
BM,1990,FYKNET,SMALLMOUTHBASS,6,11
BM,1990,FYKNET,WALLEYE,6,1
BM,1990,FYKNET,WHITESUCKER,6,2
BM,1990,FYKNET,YELLOWBULLHEAD,6,4
BM,1990,FYKNET,YELLOWPERCH,6,7
BM,1990,TRAMML,BLUEGILL,2,10
BM,1990,TRAMML,NORTHERNPIKE,2,1
BM,1990,TRAMML,PUMPKINSEED,2,5
BM,1990,TRAMML,ROCKBASS,2,4
BM,1990,TRAMML,SMALLMOUTHBASS,2,1
BM,1990,TRAMML,WALLEYE,2,3
BM,1990,TRAMML,YELLOWBULLHEAD,2,3
BM,1990,TRAMML,YELLOWPERCH,2,14
BM,1990,VGN019,CISCO,2,1
BM,1990,VGN051,CISCO,2,2
BM,1990,VGN064,WALLEYE,2,1
BM,1990,VGN089,CISCO,2,2
BM,1991,BSEINE,BLUEGILL,18,46
BM,1991,BSEINE,BLUNTNOSEMINNOW,18,19
BM,1991,BSEINE,GOLDENSHINER,18,1
BM,1991,BSEINE,JOHNNYDARTER,18,2
BM,1991,BSEINE,LARGEMOUTHBASS,18,22
BM,1991,BSEINE,MIMICSHINER,18,6
BM,1991,BSEINE,MOTTLEDSCULPIN,18,1
BM,1991,BSEINE,PUMPKINSEED,18,8
BM,1991,BSEINE,ROCKBASS,18,29
BM,1991,BSEINE,SMALLMOUTHBASS,18,32
BM,1991,BSEINE,WALLEYE,18,8
BM,1991,BSEINE,WHITESUCKER,18,5
BM,1991,BSEINE,YELLOWBULLHEAD,18,2
BM,1991,BSEINE,YELLOWPERCH,18,167
BM,1991,CRAYTR,ROCKBASS,30,3
BM,1991,ELFISH,BLUEGILL,4,18
BM,1991,ELFISH,BLUNTNOSEMINNOW,4,2
BM,1991,ELFISH,BURBOT,4,1
BM,1991,ELFISH,LOGPERCH,4,1
BM,1991,ELFISH,MIMICSHINER,4,14
BM,1991,ELFISH,PUMPKINSEED,4,14
BM,1991,ELFISH,ROCKBASS,4,18
BM,1991,ELFISH,SMALLMOUTHBASS,4,14
BM,1991,ELFISH,WALLEYE,4,49
BM,1991,ELFISH,WHITESUCKER,4,4
BM,1991,ELFISH,YELLOWPERCH,4,29
BM,1991,FYKNET,BLACKNOSESHINER,6,1
BM,1991,FYKNET,BLUEGILL,6,18
BM,1991,FYKNET,BLUNTNOSEMINNOW,6,15
BM,1991,FYKNET,LARGEMOUTHBASS,6,7
BM,1991,FYKNET,MIMICSHINER,6,7
BM,1991,FYKNET,MOTTLEDSCULPIN,6,1
BM,1991,FYKNET,PUMPKINSEED,6,9
BM,1991,FYKNET,ROCKBASS,6,93
BM,1991,FYKNET,SMALLMOUTHBASS,6,5
BM,1991,FYKNET,WALLEYE,6,3
BM,1991,FYKNET,WHITESUCKER,6,1
BM,1991,FYKNET,YELLOWBULLHEAD,6,3
BM,1991,FYKNET,YELLOWPERCH,6,4
BM,1991,TRAMML,BLUEGILL,2,2
BM,1991,TRAMML,NORTHERNPIKE,2,3
BM,1991,TRAMML,PUMPKINSEED,2,31
BM,1991,TRAMML,ROCKBASS,2,9
BM,1991,TRAMML,WALLEYE,2,1
BM,1991,TRAMML,WHITESUCKER,2,2
BM,1991,TRAMML,YELLOWBULLHEAD,2,2
BM,1991,TRAMML,YELLOWPERCH,2,21
BM,1991,VGN019,CISCO,2,2
BM,1991,VGN025,CISCO,2,5
BM,1991,VGN064,CISCO,2,3
BM,1991,VGN089,CISCO,2,1
BM,1992,BSEINE,BLACKCRAPPIE,18,1
BM,1992,BSEINE,BLUEGILL,18,5
BM,1992,BSEINE,BLUNTNOSEMINNOW,18,7
BM,1992,BSEINE,BURBOT,18,1
BM,1992,BSEINE,COMMONSHINER,18,11
BM,1992,BSEINE,JOHNNYDARTER,18,11
BM,1992,BSEINE,LARGEMOUTHBASS,18,44
BM,1992,BSEINE,MUSKELLUNGE,18,1
BM,1992,BSEINE,ROCKBASS,18,5
BM,1992,BSEINE,SMALLMOUTHBASS,18,2
BM,1992,BSEINE,WALLEYE,18,6
BM,1992,BSEINE,WHITESUCKER,18,10
BM,1992,BSEINE,YELLOWPERCH,18,70
BM,1992,CRAYTR,BLUNTNOSEMINNOW,30,1
BM,1992,CRAYTR,BURBOT,30,1
BM,1992,ELFISH,BLUEGILL,4,3
BM,1992,ELFISH,BLUNTNOSEMINNOW,4,2
BM,1992,ELFISH,COMMONSHINER,4,4
BM,1992,ELFISH,LARGEMOUTHBASS,4,1
BM,1992,ELFISH,LOGPERCH,4,1
BM,1992,ELFISH,MIMICSHINER,4,8
BM,1992,ELFISH,MUSKELLUNGE,4,1
BM,1992,ELFISH,PUMPKINSEED,4,5
BM,1992,ELFISH,ROCKBASS,4,20
BM,1992,ELFISH,SMALLMOUTHBASS,4,2
BM,1992,ELFISH,WALLEYE,4,66
BM,1992,ELFISH,WHITESUCKER,4,4
BM,1992,ELFISH,YELLOWPERCH,4,14
BM,1992,FYKNET,BLUEGILL,6,3
BM,1992,FYKNET,JOHNNYDARTER,6,1
BM,1992,FYKNET,LARGEMOUTHBASS,6,10
BM,1992,FYKNET,MIMICSHINER,6,1
BM,1992,FYKNET,PUMPKINSEED,6,1
BM,1992,FYKNET,ROCKBASS,6,41
BM,1992,FYKNET,SMALLMOUTHBASS,6,4
BM,1992,FYKNET,WHITESUCKER,6,3
BM,1992,FYKNET,YELLOWPERCH,6,15
BM,1992,TRAMML,BLACKBULLHEAD,2,1
BM,1992,TRAMML,CISCO,2,1
BM,1992,TRAMML,PUMPKINSEED,2,1
BM,1992,TRAMML,ROCKBASS,2,3
BM,1992,TRAMML,WALLEYE,2,3
BM,1992,TRAMML,WHITESUCKER,2,1
BM,1992,TRAMML,YELLOWPERCH,2,21
BM,1992,VGN019,CISCO,2,39
BM,1992,VGN038,CISCO,2,1
BM,1992,VGN038,WALLEYE,2,1
BM,1992,VGN051,CISCO,2,2
BM,1992,VGN051,WALLEYE,2,1
BM,1992,VGN064,CISCO,2,2
BM,1992,VGN089,CISCO,2,4
BM,1992,VGN089,WALLEYE,2,1
BM,1993,BSEINE,BLACKCRAPPIE,18,1
BM,1993,BSEINE,BLUNTNOSEMINNOW,18,9
BM,1993,BSEINE,BURBOT,18,2
BM,1993,BSEINE,DARTER,18,1
BM,1993,BSEINE,HORNYHEADCHUB,18,1
BM,1993,BSEINE,IOWADARTER,18,1
BM,1993,BSEINE,JOHNNYDARTER,18,7
BM,1993,BSEINE,LARGEMOUTHBASS,18,4
BM,1993,BSEINE,MIMICSHINER,18,39
BM,1993,BSEINE,MOTTLEDSCULPIN,18,4
BM,1993,BSEINE,PUMPKINSEED,18,1
BM,1993,BSEINE,ROCKBASS,18,9
BM,1993,BSEINE,WALLEYE,18,9
BM,1993,BSEINE,WHITESUCKER,18,6
BM,1993,BSEINE,YELLOWPERCH,18,76
BM,1993,ELFISH,BLUEGILL,4,1
BM,1993,ELFISH,BLUNTNOSEMINNOW,4,1
BM,1993,ELFISH,MIMICSHINER,4,20
BM,1993,ELFISH,MUSKELLUNGE,4,1
BM,1993,ELFISH,ROCKBASS,4,13
BM,1993,ELFISH,SMALLMOUTHBASS,4,3
BM,1993,ELFISH,WALLEYE,4,70
BM,1993,ELFISH,WHITESUCKER,4,3
BM,1993,ELFISH,YELLOWPERCH,4,7
BM,1993,FYKNET,BLUEGILL,6,1
BM,1993,FYKNET,BLUNTNOSEMINNOW,6,14
BM,1993,FYKNET,JOHNNYDARTER,6,1
BM,1993,FYKNET,LARGEMOUTHBASS,6,10
BM,1993,FYKNET,MIMICSHINER,6,2
BM,1993,FYKNET,PUMPKINSEED,6,1
BM,1993,FYKNET,ROCKBASS,6,43
BM,1993,FYKNET,SMALLMOUTHBASS,6,3
BM,1993,FYKNET,WHITESUCKER,6,5
BM,1993,FYKNET,YELLOWPERCH,6,445
BM,1993,TRAMML,NORTHERNPIKE,2,3
BM,1993,TRAMML,PUMPKINSEED,2,11
BM,1993,TRAMML,ROCKBASS,2,4
BM,1993,TRAMML,WALLEYE,2,2
BM,1993,TRAMML,WHITESUCKER,2,1
BM,1993,TRAMML,YELLOWPERCH,2,30
BM,1993,VGN019,CISCO,2,10
BM,1993,VGN051,CISCO,2,9
BM,1993,VGN051,WALLEYE,2,1
BM,1993,VGN064,CISCO,2,14
BM,1993,VGN064,WALLEYE,2,1
BM,1993,VGN089,CISCO,2,7
BM,1994,BSEINE,BLUEGILL,18,1
BM,1994,BSEINE,BLUNTNOSEMINNOW,18,49
BM,1994,BSEINE,BURBOT,18,3
BM,1994,BSEINE,COMMONSHINER,18,8
BM,1994,BSEINE,JOHNNYDARTER,18,10
BM,1994,BSEINE,LARGEMOUTHBASS,18,11
BM,1994,BSEINE,MIMICSHINER,18,4
BM,1994,BSEINE,MOTTLEDSCULPIN,18,6
BM,1994,BSEINE,MUSKELLUNGE,18,1
BM,1994,BSEINE,PUMPKINSEED,18,2
BM,1994,BSEINE,ROCKBASS,18,38
BM,1994,BSEINE,SMALLMOUTHBASS,18,2
BM,1994,BSEINE,WALLEYE,18,44
BM,1994,BSEINE,WHITESUCKER,18,12
BM,1994,BSEINE,YELLOWPERCH,18,55
BM,1994,CRAYTR,BLUNTNOSEMINNOW,30,2
BM,1994,CRAYTR,JOHNNYDARTER,30,1
BM,1994,CRAYTR,ROCKBASS,30,1
BM,1994,CRAYTR,YELLOWPERCH,30,3
BM,1994,ELFISH,BLUEGILL,4,1
BM,1994,ELFISH,BLUNTNOSEMINNOW,4,8
BM,1994,ELFISH,JOHNNYDARTER,4,2
BM,1994,ELFISH,LOGPERCH,4,3
BM,1994,ELFISH,MIMICSHINER,4,69
BM,1994,ELFISH,MOTTLEDSCULPIN,4,1
BM,1994,ELFISH,MUSKELLUNGE,4,1
BM,1994,ELFISH,NORTHERNPIKE,4,1
BM,1994,ELFISH,ROCKBASS,4,22
BM,1994,ELFISH,SMALLMOUTHBASS,4,10
BM,1994,ELFISH,WALLEYE,4,365
BM,1994,ELFISH,WHITESUCKER,4,15
BM,1994,ELFISH,YELLOWPERCH,4,6
BM,1994,FYKNET,BLACKNOSESHINER,6,3
BM,1994,FYKNET,BLUEGILL,6,1
BM,1994,FYKNET,BLUNTNOSEMINNOW,6,34
BM,1994,FYKNET,BROOKSTICKLEBACK,6,1
BM,1994,FYKNET,BURBOT,6,1
BM,1994,FYKNET,IOWADARTER,6,2
BM,1994,FYKNET,LARGEMOUTHBASS,6,34
BM,1994,FYKNET,MIMICSHINER,6,5
BM,1994,FYKNET,ROCKBASS,6,48
BM,1994,FYKNET,SMALLMOUTHBASS,6,72
BM,1994,FYKNET,WALLEYE,6,3
BM,1994,FYKNET,WHITESUCKER,6,2
BM,1994,FYKNET,YELLOWPERCH,6,13
BM,1994,TRAMML,ROCKBASS,2,5
BM,1994,TRAMML,WALLEYE,2,7
BM,1994,TRAMML,WHITESUCKER,2,1
BM,1994,TRAMML,YELLOWBULLHEAD,2,2
BM,1994,TRAMML,YELLOWPERCH,2,8
BM,1994,VGN019,CISCO,2,13
BM,1994,VGN019,WALLEYE,2,1
BM,1994,VGN025,CISCO,2,2
BM,1994,VGN025,YELLOWPERCH,2,1
BM,1994,VGN051,CISCO,2,6
BM,1994,VGN051,WALLEYE,2,1
BM,1994,VGN064,CISCO,2,16
BM,1994,VGN089,CISCO,2,6
BM,1994,VGN089,WALLEYE,2,2
BM,1995,BSEINE,BLUEGILL,18,5
BM,1995,BSEINE,BLUNTNOSEMINNOW,18,15
BM,1995,BSEINE,BURBOT,18,2
BM,1995,BSEINE,COMMONSHINER,18,4
BM,1995,BSEINE,JOHNNYDARTER,18,9
BM,1995,BSEINE,LARGEMOUTHBASS,18,5
BM,1995,BSEINE,MIMICSHINER,18,44
BM,1995,BSEINE,MOTTLEDSCULPIN,18,2
BM,1995,BSEINE,PUMPKINSEED,18,1
BM,1995,BSEINE,ROCKBASS,18,25
BM,1995,BSEINE,SMALLMOUTHBASS,18,1
BM,1995,BSEINE,WALLEYE,18,6
BM,1995,BSEINE,YELLOWPERCH,18,21
BM,1995,CRAYTR,BLUNTNOSEMINNOW,28,2
BM,1995,CRAYTR,BURBOT,28,1
BM,1995,CRAYTR,ROCKBASS,28,2
BM,1995,CRAYTR,YELLOWPERCH,28,1
BM,1995,ELFISH,BLUNTNOSEMINNOW,4,16
BM,1995,ELFISH,MIMICSHINER,4,32
BM,1995,ELFISH,ROCKBASS,4,6
BM,1995,ELFISH,SMALLMOUTHBASS,4,3
BM,1995,ELFISH,WALLEYE,4,64
BM,1995,ELFISH,WHITESUCKER,4,5
BM,1995,ELFISH,YELLOWPERCH,4,3
BM,1995,FYKNET,BLACKCRAPPIE,6,2
BM,1995,FYKNET,BLUEGILL,6,2
BM,1995,FYKNET,BLUNTNOSEMINNOW,6,17
BM,1995,FYKNET,LARGEMOUTHBASS,6,23
BM,1995,FYKNET,ROCKBASS,6,66
BM,1995,FYKNET,SMALLMOUTHBASS,6,40
BM,1995,FYKNET,WALLEYE,6,2
BM,1995,TRAMML,NORTHERNPIKE,2,1
BM,1995,TRAMML,ROCKBASS,2,5
BM,1995,TRAMML,SMALLMOUTHBASS,2,1
BM,1995,TRAMML,WALLEYE,2,11
BM,1995,TRAMML,WHITESUCKER,2,2
BM,1995,TRAMML,YELLOWPERCH,2,4
BM,1995,VGN019,CISCO,2,1
BM,1995,VGN051,CISCO,2,1
BM,1995,VGN064,CISCO,2,5
BM,1995,VGN089,CISCO,2,5
BM,1996,BSEINE,BLACKCRAPPIE,18,21
BM,1996,BSEINE,BLACKNOSESHINER,18,8
BM,1996,BSEINE,BLUEGILL,18,21
BM,1996,BSEINE,BURBOT,18,8
BM,1996,BSEINE,COMMONSHINER,18,22
BM,1996,BSEINE,GOLDENSHINER,18,18
BM,1996,BSEINE,JOHNNYDARTER,18,5
BM,1996,BSEINE,LARGEMOUTHBASS,18,7
BM,1996,BSEINE,MIMICSHINER,18,11
BM,1996,BSEINE,MOTTLEDSCULPIN,18,4
BM,1996,BSEINE,MUSKELLUNGE,18,1
BM,1996,BSEINE,ROCKBASS,18,5
BM,1996,BSEINE,SMALLMOUTHBASS,18,2
BM,1996,BSEINE,UNIDENTIFIED,18,2
BM,1996,BSEINE,UNIDSUNFISH,18,4
BM,1996,BSEINE,YELLOWPERCH,18,30849
BM,1996,CRAYTR,BLUNTNOSEMINNOW,30,6
BM,1996,CRAYTR,MIMICSHINER,30,3
BM,1996,CRAYTR,ROCKBASS,30,1
BM,1996,CRAYTR,YELLOWPERCH,30,5
BM,1996,ELFISH,BLACKCRAPPIE,4,3
BM,1996,ELFISH,BLACKNOSESHINER,4,2
BM,1996,ELFISH,BLUEGILL,4,2
BM,1996,ELFISH,BLUNTNOSEMINNOW,4,25
BM,1996,ELFISH,BURBOT,4,3
BM,1996,ELFISH,LARGEMOUTHBASS,4,1
BM,1996,ELFISH,LOGPERCH,4,3
BM,1996,ELFISH,MIMICSHINER,4,7
BM,1996,ELFISH,MOTTLEDSCULPIN,4,1
BM,1996,ELFISH,NORTHERNPIKE,4,2
BM,1996,ELFISH,ROCKBASS,4,33
BM,1996,ELFISH,SMALLMOUTHBASS,4,7
BM,1996,ELFISH,WALLEYE,4,113
BM,1996,ELFISH,WHITESUCKER,4,10
BM,1996,ELFISH,YELLOWPERCH,4,95
BM,1996,FYKNET,BLUEGILL,6,3
BM,1996,FYKNET,BLUNTNOSEMINNOW,6,13
BM,1996,FYKNET,BURBOT,6,4
BM,1996,FYKNET,LARGEMOUTHBASS,6,9
BM,1996,FYKNET,MIMICSHINER,6,1216
BM,1996,FYKNET,ROCKBASS,6,66
BM,1996,FYKNET,SMALLMOUTHBASS,6,76
BM,1996,FYKNET,WHITESUCKER,6,3
BM,1996,FYKNET,YELLOWPERCH,6,23729
BM,1996,TRAMML,BURBOT,2,1
BM,1996,TRAMML,NORTHERNPIKE,2,3
BM,1996,TRAMML,ROCKBASS,2,8
BM,1996,TRAMML,SMALLMOUTHBASS,2,1
BM,1996,TRAMML,UNIDENTIFIED,2,1
BM,1996,TRAMML,WALLEYE,2,7
BM,1996,TRAMML,WHITESUCKER,2,3
BM,1996,TRAMML,YELLOWPERCH,2,7
BM,1996,VGN019,CISCO,2,11
BM,1996,VGN038,CISCO,2,1
BM,1996,VGN038,WALLEYE,2,5
BM,1996,VGN051,CISCO,2,1
BM,1996,VGN051,WALLEYE,2,5
BM,1996,VGN064,CISCO,2,1
BM,1996,VGN064,MUSKELLUNGE,2,1
BM,1996,VGN089,CISCO,2,1
BM,1997,BSEINE,BLUNTNOSEMINNOW,12,55
BM,1997,BSEINE,JOHNNYDARTER,12,7
BM,1997,BSEINE,LARGEMOUTHBASS,12,5
BM,1997,BSEINE,MOTTLEDSCULPIN,12,3
BM,1997,BSEINE,NORTHERNPIKE,12,2
BM,1997,BSEINE,ROCKBASS,12,16
BM,1997,BSEINE,SMALLMOUTHBASS,12,5
BM,1997,BSEINE,WALLEYE,12,26
BM,1997,BSEINE,WHITESUCKER,12,3
BM,1997,BSEINE,YELLOWPERCH,12,70
BM,1997,CRAYTR,BLUNTNOSEMINNOW,32,7
BM,1997,CRAYTR,MIMICSHINER,32,1
BM,1997,ELFISH,BLUNTNOSEMINNOW,3,14
BM,1997,ELFISH,JOHNNYDARTER,3,1
BM,1997,ELFISH,LARGEMOUTHBASS,3,2
BM,1997,ELFISH,NORTHERNPIKE,3,4
BM,1997,ELFISH,ROCKBASS,3,7
BM,1997,ELFISH,SMALLMOUTHBASS,3,2
BM,1997,ELFISH,WALLEYE,3,87
BM,1997,ELFISH,WHITESUCKER,3,2
BM,1997,ELFISH,YELLOWPERCH,3,10
BM,1997,FYKNET,BLACKNOSESHINER,6,1
BM,1997,FYKNET,BLUNTNOSEMINNOW,6,150
BM,1997,FYKNET,BURBOT,6,2
BM,1997,FYKNET,JOHNNYDARTER,6,1
BM,1997,FYKNET,LARGEMOUTHBASS,6,31
BM,1997,FYKNET,MIMICSHINER,6,56
BM,1997,FYKNET,MOTTLEDSCULPIN,6,1
BM,1997,FYKNET,ROCKBASS,6,37
BM,1997,FYKNET,SMALLMOUTHBASS,6,38
BM,1997,FYKNET,WALLEYE,6,3
BM,1997,FYKNET,WHITESUCKER,6,46
BM,1997,FYKNET,YELLOWPERCH,6,165
BM,1997,TRAMML,NORTHERNPIKE,2,1
BM,1997,TRAMML,ROCKBASS,2,4
BM,1997,TRAMML,WALLEYE,2,10
BM,1997,TRAMML,WHITESUCKER,2,1
BM,1997,VGN019,CISCO,2,5
BM,1997,VGN038,CISCO,2,1
BM,1997,VGN038,WALLEYE,2,1
BM,1997,VGN051,CISCO,2,1
BM,1997,VGN064,CISCO,2,1
BM,1997,VGN064,WALLEYE,2,1
BM,1997,VGN089,CISCO,2,6
BM,1997,VGN089,WALLEYE,2,1
BM,1998,BSEINE,BLACKCRAPPIE,12,3
BM,1998,BSEINE,BLUEGILL,12,2
BM,1998,BSEINE,BLUNTNOSEMINNOW,12,41
BM,1998,BSEINE,BURBOT,12,1
BM,1998,BSEINE,IOWADARTER,12,1
BM,1998,BSEINE,JOHNNYDARTER,12,6
