"lakeid","year4","sta","depth","taxon","nreps","avg_ind","stdev_ind","avg_ind_per_m2","stdev_ind_per_m2","avg_ind_per_m3","stdev_ind_per_m3"
"SP",1991,1,18,"CHAOBORUS LARVAE",5,5.2,1.6,6.62,2.04,0.37,0.11
"SP",1991,1,18,"LEPTODORA",5,291.2,57.47,370.77,73.17,20.6,4.07
"SP",1991,1,18,"MYSIS",5,0,0,0,0,0,0
"TB",1991,1,8,"CHAOBORUS LARVAE",5,161.2,44.23,205.25,56.31,25.66,7.04
"TB",1991,1,8,"LEPTODORA",5,1,1.1,1.27,1.39,0.16,0.17
"TB",1991,1,8,"MYSIS",5,0,0,0,0,0,0
"TR",1991,4,10,"CHAOBORUS LARVAE",3,3,1.41,3.82,1.8,0.38,0.18
"TR",1991,4,10,"LEPTODORA",3,151.67,7.93,193.11,10.1,19.31,1.01
"TR",1991,4,10,"MYSIS",3,43,5.35,54.75,6.82,5.47,0.68
"TR",1991,5,15,"CHAOBORUS LARVAE",3,4.33,1.7,5.52,2.16,0.37,0.14
"TR",1991,5,15,"LEPTODORA",3,121.67,11.67,154.91,14.86,10.33,0.99
"TR",1991,5,15,"MYSIS",3,78.33,8.73,99.74,11.12,6.65,0.74
"TR",1991,6,20,"CHAOBORUS LARVAE",3,8.67,4.99,11.03,6.35,0.55,0.32
"TR",1991,6,20,"LEPTODORA",3,120,18.46,152.79,23.5,7.64,1.18
"TR",1991,6,20,"MYSIS",3,47,14.97,59.84,19.06,2.99,0.95
"TR",1991,7,25,"CHAOBORUS LARVAE",3,12.67,3.4,16.13,4.33,0.65,0.17
"TR",1991,7,25,"LEPTODORA",3,156.33,52.31,199.05,66.6,7.96,2.66
"TR",1991,7,25,"MYSIS",3,23,5.1,29.28,6.49,1.17,0.26
"TR",1991,2,32,"CHAOBORUS LARVAE",5,7.2,1.6,9.17,2.04,0.29,0.06
"TR",1991,2,32,"LEPTODORA",5,133.4,17.01,169.85,21.66,5.31,0.68
"TR",1991,2,32,"MYSIS",5,1,0.89,1.27,1.14,0.04,0.04
"AL",1992,1,8,"CHAOBORUS LARVAE",5,1553,172.03,1977.34,219.03,247.17,27.38
"AL",1992,1,8,"LEPTODORA",5,11.8,5.49,15.02,6.99,1.88,0.87
"AL",1992,1,8,"MYSIS",5,0,0,0,0,0,0
"BM",1992,1,18,"CHAOBORUS LARVAE",5,0.8,0.75,1.02,0.95,0.06,0.05
"BM",1992,1,18,"LEPTODORA",5,42.2,18.41,53.73,23.44,2.99,1.3
"BM",1992,1,18,"MYSIS",5,0,0,0,0,0,0
"CB",1992,1,2,"CHAOBORUS LARVAE",5,211,76.15,268.65,96.96,134.33,48.48
"CB",1992,1,2,"LEPTODORA",5,4,4.77,5.09,6.08,2.55,3.04
"CB",1992,1,2,"MYSIS",5,0,0,0,0,0,0
"CR",1992,1,19,"CHAOBORUS LARVAE",5,0.8,0.4,1.02,0.51,0.05,0.03
"CR",1992,1,19,"LEPTODORA",5,473,32.42,602.24,41.27,31.7,2.17
"CR",1992,1,19,"MYSIS",5,0,0,0,0,0,0
"SP",1992,1,18,"CHAOBORUS LARVAE",5,10.2,7.36,12.99,9.37,0.72,0.52
"SP",1992,1,18,"LEPTODORA",5,66,26.36,84.03,33.56,4.67,1.86
"SP",1992,1,18,"MYSIS",5,0,0,0,0,0,0
"TB",1992,1,7,"CHAOBORUS LARVAE",5,153,59.82,194.81,76.17,27.83,10.88
"TB",1992,1,7,"LEPTODORA",5,2.4,2.33,3.06,2.97,0.44,0.42
"TB",1992,1,7,"MYSIS",5,0,0,0,0,0,0
"TR",1992,4,10,"CHAOBORUS LARVAE",3,7,1.63,8.91,2.08,0.89,0.21
"TR",1992,4,10,"LEPTODORA",3,74.33,13.47,94.64,17.16,9.46,1.72
"TR",1992,4,10,"MYSIS",3,43.33,13.89,55.17,17.68,5.52,1.77
"TR",1992,5,15,"CHAOBORUS LARVAE",3,27,10.8,34.38,13.75,2.29,0.92
"TR",1992,5,15,"LEPTODORA",3,109.67,19.14,139.63,24.37,9.31,1.62
"TR",1992,5,15,"MYSIS",3,87.33,26.61,111.2,33.88,7.41,2.26
"TR",1992,6,20,"CHAOBORUS LARVAE",3,24,9.2,30.56,11.72,1.53,0.59
"TR",1992,6,20,"LEPTODORA",3,100.33,21.93,127.75,27.92,6.39,1.4
"TR",1992,6,20,"MYSIS",3,214,35.14,272.47,44.74,13.62,2.24
"TR",1992,7,25,"CHAOBORUS LARVAE",3,20.67,2.05,26.31,2.62,1.05,0.1
"TR",1992,7,25,"LEPTODORA",3,85.33,13.07,108.65,16.64,4.35,0.67
"TR",1992,7,25,"MYSIS",3,176,80,224.09,101.86,8.96,4.07
"TR",1992,2,32,"CHAOBORUS LARVAE",5,2.6,0.8,3.31,1.02,0.1,0.03
"TR",1992,2,32,"LEPTODORA",5,59,33.76,75.12,42.99,2.35,1.34
"TR",1992,2,32,"MYSIS",5,0.4,0.8,0.51,1.02,0.02,0.03
"AL",1993,1,7,"CHAOBORUS LARVAE",5,1518.6,540.27,1933.54,687.9,276.22,98.27
"AL",1993,1,7,"LEPTODORA",5,0.8,0.75,1.02,0.95,0.15,0.14
"AL",1993,1,7,"MYSIS",5,0,0,0,0,0,0
"BM",1993,1,19,"CHAOBORUS LARVAE",5,3,2.28,3.82,2.9,0.2,0.15
"BM",1993,1,19,"LEPTODORA",5,270,62.92,343.77,80.11,18.09,4.22
"BM",1993,1,19,"MYSIS",5,0,0,0,0,0,0
"CB",1993,1,2,"CHAOBORUS LARVAE",5,365,233.24,464.73,296.97,232.37,148.48
"CB",1993,1,2,"LEPTODORA",5,2.2,1.6,2.8,2.04,1.4,1.02
"CB",1993,1,2,"MYSIS",5,0,0,0,0,0,0
"CR",1993,1,19,"CHAOBORUS LARVAE",4,3.25,3.9,4.14,4.96,0.22,0.26
"CR",1993,1,19,"LEPTODORA",4,48.5,13.81,61.75,17.59,3.25,0.93
"CR",1993,1,19,"MYSIS",4,0,0,0,0,0,0
"SP",1993,1,20,"CHAOBORUS LARVAE",5,1.4,1.02,1.78,1.3,0.09,0.06
"SP",1993,1,20,"LEPTODORA",5,303.6,91.87,386.56,116.98,19.33,5.85
"SP",1993,1,20,"MYSIS",5,0,0,0,0,0,0
"TB",1993,1,7,"CHAOBORUS LARVAE",5,17.8,9.37,22.66,11.93,3.24,1.7
"TB",1993,1,7,"LEPTODORA",5,1.8,1.33,2.29,1.69,0.33,0.24
"TB",1993,1,7,"MYSIS",5,0,0,0,0,0,0
"TR",1993,4,9,"CHAOBORUS LARVAE",3,9.67,4.11,12.31,5.23,1.37,0.58
"TR",1993,4,9,"LEPTODORA",3,149,50.78,189.71,64.66,21.08,7.18
"TR",1993,4,9,"MYSIS",3,0,0,0,0,0,0
"TR",1993,5,15,"CHAOBORUS LARVAE",3,7.67,1.89,9.76,2.4,0.65,0.16
"TR",1993,5,15,"LEPTODORA",3,149,106.14,189.71,135.14,12.65,9.01
"TR",1993,5,15,"MYSIS",3,88.33,15.58,112.47,19.84,7.5,1.32
"TR",1993,6,19,"CHAOBORUS LARVAE",3,6.33,1.7,8.06,2.16,0.42,0.11
"TR",1993,6,19,"LEPTODORA",3,161.33,55.65,205.42,70.86,10.81,3.73
"TR",1993,6,19,"MYSIS",3,123,18.99,156.61,24.18,8.24,1.27
"TR",1993,7,24,"CHAOBORUS LARVAE",3,4.33,1.7,5.52,2.16,0.23,0.09
"TR",1993,7,24,"LEPTODORA",3,128.33,73.32,163.4,93.36,6.81,3.89
"TR",1993,7,24,"MYSIS",3,117.33,39.53,149.39,50.34,6.22,2.1
"TR",1993,2,32,"CHAOBORUS LARVAE",5,3.8,2.48,4.84,3.16,0.15,0.1
"TR",1993,2,32,"LEPTODORA",5,189.8,28.03,241.66,35.69,7.55,1.12
"TR",1993,2,32,"MYSIS",5,0,0,0,0,0,0
"AL",1994,1,7,"CHAOBORUS LARVAE",5,991.6,480.32,1262.54,611.56,180.36,87.37
"AL",1994,1,7,"LEPTODORA",5,18.2,9.93,23.17,12.64,3.31,1.81
"AL",1994,1,7,"MYSIS",5,0,0,0,0,0,0
"BM",1994,1,19,"CHAOBORUS LARVAE",5,9.8,1.94,12.48,2.47,0.66,0.13
"BM",1994,1,19,"LEPTODORA",5,5.6,4.22,7.13,5.38,0.38,0.28
"BM",1994,1,19,"MYSIS",5,0,0,0,0,0,0
"CB",1994,1,2,"CHAOBORUS LARVAE",5,126.8,62.5,161.45,79.57,80.72,39.79
"CB",1994,1,2,"LEPTODORA",5,0,0,0,0,0,0
"CB",1994,1,2,"MYSIS",5,0,0,0,0,0,0
"CR",1994,1,19,"CHAOBORUS LARVAE",5,0.6,0.8,0.76,1.02,0.04,0.05
"CR",1994,1,19,"LEPTODORA",5,292,119.69,371.79,152.4,19.57,8.02
"CR",1994,1,19,"MYSIS",5,0,0,0,0,0,0
"SP",1994,1,18,"CHAOBORUS LARVAE",5,10.4,15.36,13.24,19.55,0.74,1.09
"SP",1994,1,18,"LEPTODORA",5,50.4,23.35,64.17,29.73,3.57,1.65
"SP",1994,1,18,"MYSIS",5,0,0,0,0,0,0
"TB",1994,1,7,"CHAOBORUS LARVAE",5,318,83.4,404.89,106.19,57.84,15.17
"TB",1994,1,7,"LEPTODORA",5,0.2,0.4,0.25,0.51,0.04,0.07
"TB",1994,1,7,"MYSIS",5,0,0,0,0,0,0
"TR",1994,4,9.5,"CHAOBORUS LARVAE",3,6,5.72,7.64,7.28,0.8,0.77
"TR",1994,4,9.5,"LEPTODORA",3,71,35.34,90.4,44.99,9.52,4.74
"TR",1994,4,9.5,"MYSIS",3,3.67,2.36,4.67,3,0.49,0.32
"TR",1994,5,17,"CHAOBORUS LARVAE",3,7.33,0.94,9.34,1.2,0.55,0.07
"TR",1994,5,17,"LEPTODORA",3,82.67,54.74,105.25,69.69,6.19,4.1
"TR",1994,5,17,"MYSIS",3,176,42.34,224.09,53.91,13.18,3.17
"TR",1994,6,21.5,"CHAOBORUS LARVAE",3,11.67,0.47,14.85,0.6,0.69,0.03
"TR",1994,6,21.5,"LEPTODORA",3,117.67,34.41,149.82,43.82,6.97,2.04
"TR",1994,6,21.5,"MYSIS",3,67.33,16.36,85.73,20.83,3.99,0.97
"TR",1994,7,24,"CHAOBORUS LARVAE",3,5,2.16,6.37,2.75,0.27,0.11
"TR",1994,7,24,"LEPTODORA",3,140.67,54.78,179.1,69.75,7.46,2.91
"TR",1994,7,24,"MYSIS",3,74.67,10.66,95.07,13.57,3.96,0.57
"TR",1994,2,30.5,"CHAOBORUS LARVAE",5,4,2.28,5.09,2.9,0.17,0.1
"TR",1994,2,30.5,"LEPTODORA",5,113.2,33.53,144.13,42.69,4.73,1.4
"TR",1994,2,30.5,"MYSIS",5,0.8,0.75,1.02,0.95,0.03,0.03
"AL",1995,1,6,"CHAOBORUS LARVAE",5,1664,273.17,2118.67,347.81,353.11,57.97
"AL",1995,1,6,"LEPTODORA",5,18.2,5,23.17,6.36,3.86,1.06
"AL",1995,1,6,"MYSIS",5,0,0,0,0,0,0
"BM",1995,1,19,"CHAOBORUS LARVAE",5,28.6,17.4,36.41,22.15,1.92,1.17
"BM",1995,1,19,"LEPTODORA",5,27.2,8.3,34.63,10.57,1.82,0.56
"BM",1995,1,19,"MYSIS",5,0,0,0,0,0,0
"CB",1995,1,2,"CHAOBORUS LARVAE",5,484.6,159.64,617.01,203.26,308.51,101.63
"CB",1995,1,2,"LEPTODORA",5,0,0,0,0,0,0
"CB",1995,1,2,"MYSIS",5,0,0,0,0,0,0
"CR",1995,1,17,"CHAOBORUS LARVAE",5,9.2,3.49,11.71,4.44,0.69,0.26
"CR",1995,1,17,"LEPTODORA",5,478.8,153.28,609.63,195.16,35.86,11.48
"CR",1995,1,17,"MYSIS",5,0,0,0,0,0,0
"SP",1995,1,18,"CHAOBORUS LARVAE",5,0.6,0.8,0.76,1.02,0.04,0.06
"SP",1995,1,18,"LEPTODORA",5,178.8,33.66,227.66,42.86,12.65,2.38
"SP",1995,1,18,"MYSIS",5,0,0,0,0,0,0
"TB",1995,1,5,"CHAOBORUS LARVAE",5,183.6,76.16,233.77,96.97,46.75,19.39
"TB",1995,1,5,"LEPTODORA",5,3.8,1.94,4.84,2.47,0.97,0.49
"TB",1995,1,5,"MYSIS",5,0,0,0,0,0,0
"TR",1995,4,9,"CHAOBORUS LARVAE",3,12.67,2.49,16.13,3.18,1.79,0.35
"TR",1995,4,9,"LEPTODORA",3,183.33,84.69,233.43,107.82,25.94,11.98
"TR",1995,4,9,"MYSIS",3,0,0,0,0,0,0
"TR",1995,5,14,"CHAOBORUS LARVAE",3,5,0.82,6.37,1.04,0.45,0.07
"TR",1995,5,14,"LEPTODORA",3,125.33,19.6,159.58,24.96,11.4,1.78
"TR",1995,5,14,"MYSIS",3,66.33,7.04,84.46,8.96,6.03,0.64
"TR",1995,6,18.5,"CHAOBORUS LARVAE",3,6.67,2.62,8.49,3.34,0.46,0.18
"TR",1995,6,18.5,"LEPTODORA",3,74,16.33,94.22,20.79,5.09,1.12
"TR",1995,6,18.5,"MYSIS",3,130.67,5.31,166.37,6.76,8.99,0.37
"TR",1995,7,24.5,"CHAOBORUS LARVAE",3,9.33,2.62,11.88,3.34,0.49,0.14
"TR",1995,7,24.5,"LEPTODORA",3,38.67,5.44,49.23,6.92,2.01,0.28
"TR",1995,7,24.5,"MYSIS",3,38.33,3.3,48.81,4.2,1.99,0.17
"TR",1995,2,31.5,"CHAOBORUS LARVAE",5,8.4,4.22,10.7,5.38,0.34,0.17
"TR",1995,2,31.5,"LEPTODORA",5,85,31.62,108.23,40.26,3.44,1.28
"TR",1995,2,31.5,"MYSIS",5,0,0,0,0,0,0
"AL",1996,1,8,"CHAOBORUS LARVAE",5,3039.8,925.27,3870.39,1178.08,483.8,147.26
"AL",1996,1,8,"LEPTODORA",5,25.8,29.78,32.85,37.92,4.11,4.74
"AL",1996,1,8,"MYSIS",5,0,0,0,0,0,0
"BM",1996,1,19,"CHAOBORUS LARVAE",5,164.4,181.62,209.32,231.24,11.02,12.17
"BM",1996,1,19,"LEPTODORA",5,106.4,35.06,135.47,44.64,7.13,2.35
"BM",1996,1,19,"MYSIS",5,0,0,0,0,0,0
"CB",1996,1,2.1,"CHAOBORUS LARVAE",5,675.6,99.36,860.2,126.51,409.62,60.24
"CB",1996,1,2.1,"LEPTODORA",5,0,0,0,0,0,0
"CB",1996,1,2.1,"MYSIS",5,0,0,0,0,0,0
"CR",1996,1,19,"CHAOBORUS LARVAE",5,0.8,0.75,1.02,0.95,0.05,0.05
"CR",1996,1,19,"LEPTODORA",5,23.2,16.18,29.54,20.6,1.55,1.08
"CR",1996,1,19,"MYSIS",5,0,0,0,0,0,0
"SP",1996,1,19,"CHAOBORUS LARVAE",5,1.4,1.02,1.78,1.3,0.09,0.07
"SP",1996,1,19,"LEPTODORA",5,70,18.98,89.13,24.17,4.69,1.27
"SP",1996,1,19,"MYSIS",5,0,0,0,0,0,0
"TB",1996,1,9.5,"CHAOBORUS LARVAE",5,67.4,37.75,85.82,48.07,9.03,5.06
"TB",1996,1,9.5,"LEPTODORA",5,0,0,0,0,0,0
"TB",1996,1,9.5,"MYSIS",5,0,0,0,0,0,0
"TR",1996,4,10,"CHAOBORUS LARVAE",3,4.67,2.05,5.94,2.62,0.59,0.26
"TR",1996,4,10,"LEPTODORA",3,146.67,66.55,186.74,84.74,18.67,8.47
"TR",1996,4,10,"MYSIS",3,14.67,4.03,18.67,5.13,1.87,0.51
"TR",1996,5,15,"CHAOBORUS LARVAE",3,2.33,0.47,2.97,0.6,0.2,0.04
"TR",1996,5,15,"LEPTODORA",3,144.33,26.39,183.77,33.6,12.25,2.24
"TR",1996,5,15,"MYSIS",3,18.67,4.5,23.77,5.73,1.58,0.38
"TR",1996,6,20,"CHAOBORUS LARVAE",3,4.67,0.94,5.94,1.2,0.3,0.06
"TR",1996,6,20,"LEPTODORA",3,161,39.3,204.99,50.04,10.25,2.5
"TR",1996,6,20,"MYSIS",3,119.33,8.99,151.94,11.45,7.6,0.57
"TR",1996,7,25,"CHAOBORUS LARVAE",3,8.33,1.7,10.61,2.16,0.42,0.09
"TR",1996,7,25,"LEPTODORA",3,174.33,42.43,221.97,54.02,8.88,2.16
"TR",1996,7,25,"MYSIS",3,151,37.42,192.26,47.64,7.69,1.91
"TR",1996,2,32,"CHAOBORUS LARVAE",5,4,1.1,5.09,1.39,0.16,0.04
"TR",1996,2,32,"LEPTODORA",5,71.6,24.34,91.16,31,2.85,0.97
"TR",1996,2,32,"MYSIS",5,1.2,0.4,1.53,0.51,0.05,0.02
"AL",1997,1,7,"CHAOBORUS LARVAE",5,1637,279.59,2084.29,355.99,297.76,50.86
"AL",1997,1,7,"LEPTODORA",5,0.2,0.4,0.25,0.51,0.04,0.07
"AL",1997,1,7,"MYSIS",5,0,0,0,0,0,0
"BM",1997,1,19,"CHAOBORUS LARVAE",5,56.6,17.51,72.07,22.3,3.79,1.17
"BM",1997,1,19,"LEPTODORA",5,0,0,0,0,0,0
"BM",1997,1,19,"MYSIS",5,0,0,0,0,0,0
"CB",1997,1,2,"CHAOBORUS LARVAE",5,619,321.71,788.14,409.62,394.07,204.81
"CB",1997,1,2,"LEPTODORA",5,1.8,0.75,2.29,0.95,1.15,0.48
"CB",1997,1,2,"MYSIS",5,0,0,0,0,0,0
"CR",1997,1,19,"CHAOBORUS LARVAE",5,6.6,2.06,8.4,2.62,0.44,0.14
"CR",1997,1,19,"LEPTODORA",5,109,28.84,138.78,36.73,7.3,1.93
"CR",1997,1,19,"MYSIS",5,0,0,0,0,0,0
"SP",1997,1,19,"CHAOBORUS LARVAE",5,2,2.61,2.55,3.32,0.13,0.17
"SP",1997,1,19,"LEPTODORA",5,9,7.4,11.46,9.43,0.6,0.5
"SP",1997,1,19,"MYSIS",5,0,0,0,0,0,0
"TB",1997,1,7,"CHAOBORUS LARVAE",5,129.6,86.09,165.01,109.61,23.57,15.66
"TB",1997,1,7,"LEPTODORA",5,0.2,0.4,0.25,0.51,0.04,0.07
"TB",1997,1,7,"MYSIS",5,0,0,0,0,0,0
"TR",1997,4,10,"CHAOBORUS LARVAE",3,1,0.82,1.27,1.04,0.13,0.1
"TR",1997,4,10,"LEPTODORA",3,101.33,29.17,129.02,37.14,12.9,3.71
"TR",1997,4,10,"MYSIS",3,1,0.82,1.27,1.04,0.13,0.1
"TR",1997,5,15,"CHAOBORUS LARVAE",3,1.67,0.47,2.12,0.6,0.14,0.04
"TR",1997,5,15,"LEPTODORA",3,89,52.35,113.32,66.66,7.55,4.44
"TR",1997,5,15,"MYSIS",3,244.67,65.14,311.52,82.94,20.77,5.53
"TR",1997,6,20,"CHAOBORUS LARVAE",3,6.67,5.91,8.49,7.52,0.42,0.38
"TR",1997,6,20,"LEPTODORA",3,82.67,25.09,105.25,31.95,5.26,1.6
"TR",1997,6,20,"MYSIS",3,92,29.88,117.14,38.04,5.86,1.9
"TR",1997,7,25,"CHAOBORUS LARVAE",3,9.67,2.87,12.31,3.65,0.49,0.15
"TR",1997,7,25,"LEPTODORA",3,54.33,33.77,69.18,42.99,2.77,1.72
"TR",1997,7,25,"MYSIS",3,107.67,26.71,137.09,34.01,5.48,1.36
"TR",1997,2,32,"CHAOBORUS LARVAE",5,6.4,3.56,8.15,4.53,0.25,0.14
"TR",1997,2,32,"LEPTODORA",5,36,15.53,45.84,19.77,1.43,0.62
"TR",1997,2,32,"MYSIS",5,0.2,0.4,0.25,0.51,0.01,0.02
"CB",1998,1,2,"CHAOBORUS LARVAE",5,464.2,324.12,591.04,412.69,295.52,206.34
"CB",1998,1,2,"LEPTODORA",5,0,0,0,0,0,0
"CB",1998,1,2,"MYSIS",5,0,0,0,0,0,0
"TB",1998,1,7,"CHAOBORUS LARVAE",4,115.75,50.99,147.38,64.93,21.05,9.28
"TB",1998,1,7,"LEPTODORA",4,0,0,0,0,0,0
"TB",1998,1,7,"MYSIS",4,0,0,0,0,0,0
"TR",1998,4,10,"CHAOBORUS LARVAE",5,0.2,0.4,0.25,0.51,0.03,0.05
"TR",1998,4,10,"LEPTODORA",5,4.4,7.34,5.6,9.34,0.56,0.93
"TR",1998,4,10,"MYSIS",5,22.4,29.7,28.52,37.82,2.85,3.78
"TR",1998,5,15,"CHAOBORUS LARVAE",3,0.33,0.47,0.42,0.6,0.03,0.04
"TR",1998,5,15,"LEPTODORA",3,21,26.24,26.74,33.41,1.78,2.23
"TR",1998,5,15,"MYSIS",3,80.33,50.69,102.28,64.54,6.82,4.3
"TR",1998,6,20,"CHAOBORUS LARVAE",3,3.67,3.86,4.67,4.91,0.23,0.25
"TR",1998,6,20,"LEPTODORA",3,39,10.8,49.66,13.75,2.48,0.69
"TR",1998,6,20,"MYSIS",3,214,44.03,272.47,56.06,13.62,2.8
"TR",1998,7,25,"CHAOBORUS LARVAE",5,7.4,2.42,9.42,3.08,0.38,0.12
"TR",1998,7,25,"LEPTODORA",5,23,19.73,29.28,25.12,1.17,1
"TR",1998,7,25,"MYSIS",5,6.6,6.34,8.4,8.08,0.34,0.32
"TR",1998,2,30,"CHAOBORUS LARVAE",5,4,2,5.09,2.55,0.17,0.08
"TR",1998,2,30,"LEPTODORA",5,2.2,1.6,2.8,2.04,0.09,0.07
"TR",1998,2,30,"MYSIS",5,3.4,2.87,4.33,3.65,0.14,0.12
"AL",1999,1,7,"CHAOBORUS LARVAE",5,1509.6,811.45,1922.08,1033.17,274.58,147.6
"AL",1999,1,7,"LEPTODORA",5,45.4,21.31,57.81,27.14,8.26,3.88
"AL",1999,1,7,"MYSIS",5,0,0,0,0,0,0
"BM",1999,1,19,"CHAOBORUS LARVAE",5,349.4,74.3,444.87,94.6,23.41,4.98
"BM",1999,1,19,"LEPTODORA",5,31.4,10.27,39.98,13.07,2.1,0.69
"BM",1999,1,19,"MYSIS",5,0,0,0,0,0,0
"CB",1999,1,2,"CHAOBORUS LARVAE",5,200.4,162.16,255.16,206.47,127.58,103.23
"CB",1999,1,2,"LEPTODORA",5,0,0,0,0,0,0
"CB",1999,1,2,"MYSIS",5,0,0,0,0,0,0
"CR",1999,1,19,"CHAOBORUS LARVAE",5,19.4,13.76,24.7,17.52,1.3,0.92
"CR",1999,1,19,"LEPTODORA",5,305.8,96.76,389.36,123.19,20.49,6.48
"CR",1999,1,19,"MYSIS",5,0,0,0,0,0,0
"SP",1999,1,18,"CHAOBORUS LARVAE",5,50,28.31,63.66,36.04,3.54,2
"SP",1999,1,18,"LEPTODORA",5,90.6,21.02,115.36,26.76,6.41,1.49
"SP",1999,1,18,"MYSIS",5,0,0,0,0,0,0
"TB",1999,1,7,"CHAOBORUS LARVAE",5,125.2,41.16,159.41,52.4,22.77,7.49
"TB",1999,1,7,"LEPTODORA",5,0,0,0,0,0,0
"TB",1999,1,7,"MYSIS",5,0,0,0,0,0,0
"TR",1999,4,10,"CHAOBORUS LARVAE",3,3.67,3.09,4.67,3.94,0.47,0.39
"TR",1999,4,10,"LEPTODORA",3,137.67,33.41,175.28,42.54,17.53,4.25
"TR",1999,4,10,"MYSIS",3,0,0,0,0,0,0
"TR",1999,5,15,"CHAOBORUS LARVAE",3,12,3.74,15.28,4.76,1.02,0.32
"TR",1999,5,15,"LEPTODORA",3,109.67,25.9,139.63,32.98,9.31,2.2
"TR",1999,5,15,"MYSIS",3,20.33,8.26,25.89,10.52,1.73,0.7
"TR",1999,6,19.5,"CHAOBORUS LARVAE",3,8.67,3.09,11.03,3.94,0.57,0.2
"TR",1999,6,19.5,"LEPTODORA",3,153.67,6.18,195.65,7.87,10.03,0.4
"TR",1999,6,19.5,"MYSIS",3,20.67,3.86,26.31,4.91,1.35,0.25
"TR",1999,7,24.5,"CHAOBORUS LARVAE",3,5,2.94,6.37,3.75,0.26,0.15
"TR",1999,7,24.5,"LEPTODORA",3,107.33,18.93,136.66,24.1,5.58,0.98
"TR",1999,7,24.5,"MYSIS",3,43,3.27,54.75,4.16,2.23,0.17
"TR",1999,2,29,"CHAOBORUS LARVAE",5,22.2,6.85,28.27,8.73,0.97,0.3
"TR",1999,2,29,"LEPTODORA",5,151.8,56.93,193.28,72.48,6.66,2.5
"TR",1999,2,29,"MYSIS",5,3,1.67,3.82,2.13,0.13,0.07
"AL",2000,1,7,"CHAOBORUS LARVAE",5,1387,236.9,1765.98,301.63,252.28,43.09
"AL",2000,1,7,"LEPTODORA",5,61.6,26.54,78.43,33.79,11.2,4.83
"AL",2000,1,7,"MYSIS",5,0,0,0,0,0,0
"BM",2000,1,19,"CHAOBORUS LARVAE",5,148.8,64.91,189.46,82.65,9.97,4.35
"BM",2000,1,19,"LEPTODORA",5,5.2,4.02,6.62,5.12,0.35,0.27
"BM",2000,1,19,"MYSIS",5,0,0,0,0,0,0
"CB",2000,1,2.5,"CHAOBORUS LARVAE",5,43.6,9.39,55.51,11.96,22.21,4.78
"CB",2000,1,2.5,"LEPTODORA",5,0,0,0,0,0,0
"CB",2000,1,2.5,"MYSIS",5,0,0,0,0,0,0
"CR",2000,1,19,"CHAOBORUS LARVAE",5,3.8,2.04,4.84,2.6,0.25,0.14
"CR",2000,1,19,"LEPTODORA",5,274.6,149.15,349.63,189.9,18.4,9.99
"CR",2000,1,19,"MYSIS",5,0,0,0,0,0,0
"SP",2000,1,18,"CHAOBORUS LARVAE",5,24,31.91,30.56,40.62,1.7,2.26
"SP",2000,1,18,"LEPTODORA",5,103,42.36,131.14,53.93,7.29,3
"SP",2000,1,18,"MYSIS",5,0,0,0,0,0,0
"TB",2000,1,7,"CHAOBORUS LARVAE",5,17.2,10.87,21.9,13.84,3.13,1.98
"TB",2000,1,7,"LEPTODORA",5,2.6,1.85,3.31,2.36,0.47,0.34
"TB",2000,1,7,"MYSIS",5,0,0,0,0,0,0
"TR",2000,4,10,"CHAOBORUS LARVAE",3,5,2.45,6.37,3.12,0.64,0.31
"TR",2000,4,10,"LEPTODORA",3,130.67,13.27,166.37,16.9,16.64,1.69
"TR",2000,4,10,"MYSIS",3,0,0,0,0,0,0
"TR",2000,5,15,"CHAOBORUS LARVAE",3,12,5.72,15.28,7.28,1.02,0.49
"TR",2000,5,15,"LEPTODORA",3,175.67,84.11,223.67,107.1,14.91,7.14
"TR",2000,5,15,"MYSIS",3,45,12.36,57.3,15.73,3.82,1.05
"TR",2000,6,20,"CHAOBORUS LARVAE",3,6,1.41,7.64,1.8,0.38,0.09
"TR",2000,6,20,"LEPTODORA",3,142.33,18.08,181.22,23.02,9.06,1.15
"TR",2000,6,20,"MYSIS",3,60.67,6.18,77.24,7.87,3.86,0.39
"TR",2000,7,25,"CHAOBORUS LARVAE",3,18.67,7.04,23.77,8.96,0.95,0.36
"TR",2000,7,25,"LEPTODORA",3,254.67,13.67,324.25,17.41,12.97,0.7
"TR",2000,7,25,"MYSIS",3,19,11.22,24.19,14.29,0.97,0.57
"TR",2000,2,32,"CHAOBORUS LARVAE",5,17,3.9,21.65,4.96,0.68,0.16
"TR",2000,2,32,"LEPTODORA",5,205.8,64.98,262.03,82.73,8.19,2.59
"TR",2000,2,32,"MYSIS",5,1.6,1.2,2.04,1.53,0.06,0.05
"AL",2001,1,7,"CHAOBORUS LARVAE",5,668.2,235.12,850.78,299.37,121.54,42.77
"AL",2001,1,7,"LEPTODORA",5,16,6.07,20.37,7.72,2.91,1.1
"AL",2001,1,7,"MYSIS",5,0,0,0,0,0,0
"BM",2001,1,19,"CHAOBORUS LARVAE",5,92.2,34.1,117.39,43.42,6.18,2.29
"BM",2001,1,19,"LEPTODORA",5,89.4,35.86,113.83,45.66,5.99,2.4
"BM",2001,1,19,"MYSIS",5,0.2,0.4,0.25,0.51,0.01,0.03
